[0. 0.]
[0.07655227 0.00068473]
[0.07605927 0.0007395 ]
[0.07408726 0.00068473]
[0.07269042 0.000493  ]
[0.07167703 0.00030128]
[0.07649749 0.00101339]
[0.07315604 0.00062995]
[0.06943113 0.00019172]
[0.06535017 0.00043822]
[0.06636356 0.00057517]
[0.06622662 0.00054778]
[0.06395333 0.00068473]
[0.06584317 0.00065734]
[0.06151571 0.000986  ]
[0.0620361  0.00013695]
[0.06159787 0.00095862]
[0.06658267 0.00090384]
[0.06373422 0.00057517]
[0.06096793 0.00032867]
[0.0592972  0.00084906]
[0.05987237 0.00125989]
[0.06017365 0.00079428]
[0.06255649 0.00071211]
[0.06241954 0.00057517]
[0.05899592 0.00027389]
[0.06069404 0.00093123]
[0.06315905 0.00104078]
[0.06241954 0.00068473]
[0.05696913 0.00082167]
[0.05959848 0.00065734]
[0.06170743 0.0007395 ]
[0.06504889 0.00068473]
[0.06436416 0.00093123]
[0.06296732 0.00090384]
[0.06293994 0.00032867]
[0.06959546 0.00019172]
[0.07055408 0.00087645]
[0.06959546 0.00117773]
[0.07143053 0.00065734]
[0.07277259 0.00046561]
[0.07400509 0.00060256]
[0.07206047 0.00062995]
[0.07173181 0.00095862]
[0.07310126 0.00030128]
[0.07227959 0.00041084]
[0.07022541 0.00021911]
[0.07668922 0.000986  ]
[0.07992112 0.00087645]
[0.07783956 0.00093123]
[0.07479938 0.00117773]
[0.06880118 0.00076689]
[0.06819863 0.00076689]
[0.0684999  0.00106817]
[0.06674701 0.00084906]
[0.06244693 0.00054778]
[0.05595574 0.00035606]
[0.05423023 0.00076689]
[0.05190217 0.00057517]
[0.04779382 0.00030128]
[0.04313768 0.0002465 ]
[0.03990578 0.00057517]
[0.03801594 0.00021911]
[0.03998795 0.00109556]
[0.0366191  0.00041084]
[0.03084002 0.000493  ]
[0.02774506 0.00068473]
[2.74163951e-02 2.73890061e-05]
[0.02821068 0.00054778]
[0.02903235 0.00027389]
[0.02374627 0.00019172]
[0.01876147 0.0002465 ]
[0.02128126 0.00046561]
[0.02076087 0.00010956]
[0.01763852 0.000493  ]
[0.01087344 0.00019172]
[0.00405357 0.00032867]
[0.00602558 0.00060256]
[0.00290323 0.00032867]
[0.00106817 0.00013695]
[5.47780121e-05 1.64334036e-04]
[0.00079428 0.0002465 ]
[0.00238284 0.00030128]
[0.00476569 0.00043822]
[0.00588864 0.00013695]
[0.01218811 0.00035606]
[0.01084605 0.00032867]
[0.01035304 0.00043822]
[0.01147599 0.00052039]
[0.01358495 0.00016433]
[0.00966832 0.00035606]
[0.01421489 0.00013695]
[0.01714552 0.00076689]
[0.01333845 0.0002465 ]
[1.64060146e-02 8.21670182e-05]
[0.01591301 0.00035606]
[0.01774808 0.00027389]
[0.02114431 0.        ]
[2.18290378e-02 2.73890061e-05]
[0.0219112  0.00010956]
[0.02073348 0.00013695]
[0.0206787  0.00035606]
[2.72520610e-02 2.73890061e-05]
[0.0288954  0.00052039]
[0.03029224 0.00032867]
[0.03116869 0.00010956]
[0.03275725 0.00021911]
[3.31680863e-02 8.21670182e-05]
[3.79885514e-02 8.21670182e-05]
[0.03853633 0.00013695]
[0.03828983 0.        ]
[0.03889239 0.00043822]
[0.04045356 0.00035606]
[0.04141218 0.00038345]
[0.03946756 0.0002465 ]
[0.03845416 0.00060256]
[0.04256252 0.00021911]
[0.04817726 0.00030128]
[0.04735559 0.00052039]
[0.04806771 0.00030128]
[0.05105311 0.00060256]
[4.69173674e-02 2.73890061e-05]
[0.04543836 0.00041084]
[0.05299773 0.0002465 ]
[0.05327162 0.00030128]
[0.05354551 0.00057517]
[0.0543124  0.00057517]
[0.05433979 0.00065734]
[0.06072143 0.00052039]
[0.06469283 0.00060256]
[0.06400811 0.00062995]
[0.06176221 0.00084906]
[0.06463805 0.00054778]
[0.06912985 0.00076689]
[0.0727452  0.00065734]
[0.07312865 0.00032867]
[0.0727452  0.00060256]
[0.07592232 0.000493  ]
